#! FIELDS cv1 file.free der_cv1
#! SET min_cv1 0
#! SET max_cv1 3.0
#! SET nbins_cv1  301
#! SET periodic_cv1 false
    0.000000000  -52.073369935 -863.668556911
    1.510000000 -113.253255438  -17.185867507
    1.520000000 -113.400668168  -13.027036350
    1.530000000 -113.497951813   -8.034432093
    1.540000000 -113.545227727   -3.131516518
    1.550000000 -113.545973128    0.908399596
    1.560000000 -113.517098676    3.239326689
    1.570000000 -113.477195823    3.591157480
    1.580000000 -113.439977381    1.409985363
    1.590000000 -113.435368205   -1.790908373
    1.600000000 -113.468916250   -6.088905926
    1.610000000 -113.546006322  -10.625115534
    1.620000000 -113.664644907  -14.686974081
    1.630000000 -113.817319640  -17.464919637
    1.640000000 -113.992115474  -18.729439220
    1.650000000 -114.174616485  -18.138136351
    1.660000000 -114.341258449  -16.199802311
    1.670000000 -114.476950451  -12.207843817
    1.680000000 -114.565182545   -7.011641540
    1.690000000 -114.598700715   -0.926606029
    1.700000000 -114.567600268    4.946692384
    1.710000000 -114.482109332   10.341473857
    1.720000000 -114.351414291   14.279423588
    1.730000000 -114.190215522   16.442687394
    1.740000000 -114.015974211   16.791476077
    1.750000000 -113.843731767   15.876290605
    1.760000000 -113.685072275   14.142801050
    1.770000000 -113.542250544   12.733406084
    1.780000000 -113.410620750   12.378832308
    1.790000000 -113.277902289   13.013060402
    1.800000000 -113.132553472   14.666796555
    1.810000000 -112.965734926   16.931818724
    1.820000000 -112.776007147   19.092182048
    1.830000000 -112.571722831   20.691704813
    1.840000000 -112.352421941   21.473724141
    1.850000000 -112.128302244   21.363030055
    1.860000000 -111.910004225   20.917700458
    1.870000000 -111.694291262   20.862822615
    1.880000000 -111.473606191   21.498657495
    1.890000000 -111.238920318   23.866702908
    1.900000000 -110.974650820   27.582597741
    1.910000000 -110.666216600   32.050908979
    1.920000000 -110.314278367   36.764282347
    1.930000000 -109.915396560   41.036305964
    1.940000000 -109.480597552   44.412292046
    1.950000000 -109.013378988   47.276538609
    1.960000000 -108.518921571   50.317726002
    1.970000000 -107.987641565   54.082822677
    1.980000000 -107.410642241   59.770809763
    1.990000000 -106.765130913   67.675253643
    2.000000000 -106.030657917   78.060958083
    2.010000000 -105.182750643   89.829878795
    2.020000000 -104.213161090  101.926414546
    2.030000000 -103.123524438  113.272634131
    2.040000000 -101.932971743  123.131160677
    2.050000000 -100.656021540  130.203919104
    2.060000000  -99.322282403  134.183238818
    2.070000000  -97.962136940  135.804380080
    2.080000000  -96.595027498  135.634373869
    2.090000000  -95.232314721  134.675317085
    2.100000000  -93.877112362  134.210597215
    2.110000000  -92.520593652  135.357950683
    2.120000000  -91.145585487  138.407540042
    2.130000000  -89.728604457  143.002436912
    2.140000000  -88.261984714  148.565374005
    2.150000000  -86.738668637  154.154861110
    2.160000000  -85.164908034  158.063897874
    2.170000000  -83.562181984  159.977603090
    2.180000000  -81.950502365  159.902251583
    2.190000000  -80.347784601  157.867641800
    2.200000000  -78.766655799  155.396788140
    2.210000000  -77.211596235  154.305065794
    2.220000000  -75.654732178  156.042263485
    2.230000000  -74.058206638  161.508544014
    2.240000000  -72.385687480  171.559981099
    2.250000000  -70.587582830  185.644732739
    2.260000000  -68.636443419  203.190874655
    2.270000000  -66.500216231  222.000354714
    2.280000000  -64.177536453  240.703098668
    2.290000000  -61.672828061  257.676183083
    2.300000000  -59.010017432  272.392188998
    2.310000000  -56.209857723  284.451351921
    2.320000000  -53.302045314  294.642083471
    2.330000000  -50.301327726  303.186624708
    2.340000000  -47.222007210  310.604986186
    2.350000000  -44.072042503  316.942270572
    2.360000000  -40.864387521  322.238706186
    2.370000000  -37.612412417  326.015261034
    2.380000000  -34.333930249  327.478108491
    2.390000000  -31.055145792  325.914709101
    2.400000000  -27.809517666  320.810719735
    2.410000000  -24.633790181  311.784207883
    2.420000000  -21.568596751  298.859206532
    2.430000000  -18.650446647  282.085345927
    2.440000000  -15.917913137  262.144897543
    2.450000000  -13.399158615  239.570252012
    2.460000000  -11.115659604  215.087740183
    2.470000000   -9.082507562  189.653897382
    2.480000000   -7.306283074  164.272583119
    2.490000000   -5.780113659  139.535730756
    2.500000000   -4.497588190  116.484776534
    2.510000000   -3.434605450   95.168015289
    2.520000000   -2.574868434   76.315812098
    2.530000000   -1.888636368   59.695679824
    2.540000000   -1.356134138   45.713519480
    2.550000000   -0.954177206   34.392675958
    2.560000000   -0.653937346   25.145915735
    2.570000000   -0.437663104   17.978735595
    2.580000000   -0.282202377   12.290089956
    2.590000000   -0.177692837    8.232957888
    2.600000000   -0.108528447    5.345172469
    2.610000000   -0.062509843    3.234710134
    2.620000000   -0.035373777    1.936677706
    2.630000000   -0.019349801    1.120040018
    2.640000000   -0.010441671    0.641635220
    2.650000000   -0.004979181    0.320794930
    2.660000000   -0.002287326    0.154939482
    2.670000000   -0.000536606    0.037595737
    2.680000000   -0.000000000   -0.000000000
    2.690000000   -0.000000000   -0.000000000
    2.700000000   -0.000000000   -0.000000000
    2.710000000   -0.000000000   -0.000000000
    2.720000000   -0.000000000   -0.000000000
    2.730000000   -0.000000000   -0.000000000
    2.740000000   -0.000000000   -0.000000000
    2.750000000   -0.000000000   -0.000000000
    2.760000000   -0.000000000   -0.000000000
    2.770000000   -0.000000000   -0.000000000
    2.780000000   -0.000000000   -0.000000000
    2.790000000   -0.000000000   -0.000000000
    2.800000000   -0.000000000   -0.000000000
    2.810000000   -0.000000000   -0.000000000
    2.820000000   -0.000000000   -0.000000000
    2.830000000   -0.000000000   -0.000000000
    2.840000000   -0.000000000   -0.000000000
    2.850000000   -0.000000000   -0.000000000
    2.860000000   -0.000000000   -0.000000000
    2.870000000   -0.000000000   -0.000000000
